"Event Name","Start Date","End Date",Country,State,City,Venue,"Region 1","Region 2","Region 3",Contacts,URL,URL2,URL3,Sponsorship,Stakeholders,Type
"BriForum London 2013",2013-05-16,2013-05-17,"United Kingdom",,London,"etc venues St. Paul's Conference Center",,,,,http://briforum.com/Europe/index.html,,,,,"Industry Event"
"Gartner xxx@redhat.com Day: +9195551212 Cell: +49 (0)173 165 7536 ",http://www.gartner.com/technology/summits/emea/application-development/,,,,Middleware,"Analyst Event"
"HP xxx@redhat.com Day: 919-555-1212 Cell: 919-555-1212",http://www.pgatour.com/tournaments/hp-byron-nelson-championship.html,https://docspace.corp.redhat.com/docs/DOC-143404,,,"Global Partner Marketing","Red Hat Partner Event"
"Executive Storage lunch",2013-05-17,2013-05-17,Netherlands,,Amsterdam,,EMEA,Benelux,,,,,,,Storage,"Red Hat Hosted"
"Citrix Synergy 2013",2013-05-20,2013-05-24,USA,California,Anaheim,"Anaheim Convention Center",,,,,http://citrixsynergy.com/sanfrancisco/about-us/synergy-2013-los-angeles.html,,,,,"Industry Event"
"Red Hat & Vizuri Intelligent Integration Round Table",2013-05-21,2013-05-21,USA,Virginia,Reston,"Hyatt Regency","NORTH AMERICA",,,,http://www.vizuri.com/insights/events/2013/04/intelligent-integration-roundtable-jboss-brms-soa,,,,"Field Marketing","Customer Event"
"Compucom Customer Webinar - Get Cloud Right the First Time with Red Hat Open Source",2013-05-21,2013-05-21,"North America",,,Webinar,"NORTH AMERICA",,,,http://0521redhat.eventbrite.com/#,,,,"Field Marketing,Virtualization,Platform,Grow Share (Microsoft) NextGen Datacenter, Break Glass,Channel",Webinars
"Taste of Training",2013-05-21,2013-05-21,,,"9:00 AM EST | 14:00 UTC",,,,,,,,,,,Webinars
"Red xxx@redhat.com Day: 919555121264 Cell: 9195551212476",http://app.engage.redhat.com/e/es?s=1795&e=247094&elq=ff2e0eeb8b874fa687ee55a232287ce4,,,,"Platform,Middleware","Red Hat Partner Event"
"Red Hat Day - Hungary",2013-05-21,2013-05-21,Hungary,,Budapest,"hotel Larus",EMEA,"Eastern Europe",,,,,,,"Field Marketing","Red Hat Hosted"
"IDC Datacenters Transformation conference - CZ",2013-05-21,2013-05-21,"Czech Republic",,Prague,,EMEA,"Eastern Europe",,,,,,"Silver sponsor","Field Marketing,Middleware,Platform,Sell RHEL,The \"JBoss Way\"","Analyst Event"
"OpenShift xxx@redhat.com Day: +91955512122 Cell: +91955512123",,,,,Openshift,"User Groups"
"ATCA Tech Symposium",2013-05-21,2013-05-23,USA,"New Jersey","Atlantic City","Resorts Hotel & Casino ","NORTH AMERICA",,,,http://www.atca.org/TechSymposium,,,"Tabletop - Members ","Field Marketing,Public Sector,Middleware","Industry Event"
"EMC World 2012",2013-05-21,2013-05-24,USA,Nevada,"Las Vegas","The Venetian",,,,,http://www.emcworld.com/,,,,,"Industry Event"
"FutureGov Lunch Briefing 2013 (Singapore)",2013-05-22,2013-05-22,Singapore,,Singapore,"InterContinental Singapore",APAC,ASEAN,,,,,,NA,"Public Sector,Virtualization,Platform,Middleware,Field Marketing,Cloud","C-level Event"
"JBug Workshop - Singapore",2013-05-22,2013-05-22,Singapore,,Singapore,"The Hub",APAC,ASEAN,,,,,,,"Middleware,Opensource.com","User Groups"
"Public Sector Intelligent Integrated Roundtable: JBoss BRMS & SOA",2013-05-22,2013-05-22,USA,Virginia,Arlington,"Arlington Hilton - ","NORTH AMERICA",East,,,http://www.vizuri.com/insights/events/2013/04/public-sector-intelligent-integration-roundtable-jboss-brms-soa,http://www.vizuri.com/insights/events/2013/04/public-sector-intelligent-integration-roundtable-jboss-brms-soa#Register,,,"Public Sector,Channel,Middleware,Intelligent Integrated Enterprises,Field Marketing","Red Hat Partner Event"
"Webinar: Building a Hybrid Cloud in Government",2013-05-22,2013-05-22,,,,,"NORTH AMERICA",,,,https://www.techwebonlineevents.com/ars/eventregistration.do?mode=eventreg&F=1005888&K=CAA1BC,,,,"Field Marketing,Public Sector,Virtualization,Cloud",Webinars
"Managing in real-time: clouds lead the way",2013-05-22,2013-05-22,,,"9:00 am EST | 14:00 UTC, 2:00 pm EST | 19:00 UTC",,,,,,,,,,Cloud,Webinars
"Open-IT xxx@redhat.com Day: +9195551212  Cell: +49 (0)151 643 0 7788",http://www.open-it-summit.de/,,,,"Opensource.com,Sell RHEL,Migrate:  Solaris to RHEL, AIX to RHEL, HP-UX to RHEL (with HP), Lower TCO (Partners partners)","Customer Event"
"Atea Boot Camp 2013",2013-05-22,2013-05-24,,,,,EMEA,Nordics,,,http://bootcamp2013.atea.se/,,,,,"C-level Event"
" Open Source Financial Symposium 2013",2013-05-23,2013-05-23,Spain,Madrid,,TBC,EMEA,"Iberia ",,,http://www.redhatfinancial.es/inicio.html,,,,,"Red Hat Hosted"
"Red Hat Solution Workshop (Brunei)",2013-05-23,2013-05-23,"Brunei Darussalam",,,"Radisson Hotel",APAC,ASEAN,,,,,,NA,"Virtualization,Platform,Field Marketing","Red Hat Partner Event"
"Gain customer insight: Using business rules and data services with SF.com",2013-05-23,2013-05-23,,,,,,,,,,,,,Middleware,Webinars
"Red xxx@redhat.com Day: 919555121264 Cell: 9195551212476",http://app.engage.redhat.com/e/es?s=1795&e=247097&elq=c0db72e83aa44cc69a1b0ecc876adf69,,,,"Virtualization,Platform,Middleware","Red Hat Partner Event"
"OpenShift xxx@redhat.com Day: +91955512122 Cell: +91955512123",,,,,Openshift,"User Groups"
"SAP Forum",2013-05-26,2013-05-26,"Saudi Arabia",,Riyadh,,,,,,,,,,,"Red Hat Partner Event"
"JBoss Technology Update and EAP Migration Workshop",2013-05-28,2013-05-28,Malaysia,,"Kuala Lumpur","Telekom Malaysia Convention Center",,,,,,,,NA,"Middleware,Field Marketing","Red Hat Partner Event"
"Red Hat Solutions Workshop (Malaysia)",2013-05-28,2013-05-28,Malaysia,,"Kuala Lumpur, Selangor","Empire Hotel Subang",APAC,ASEAN,,,,,,NA,"Virtualization,Platform,Field Marketing","Red Hat Partner Event"
"Interoperability in the datacenter",2013-05-28,2013-05-28,,,,,,,,,,,,,"Platform,Sell RHEL",Webinars
"RDO: An OpenStack community",2013-05-29,2013-05-29,,,,,,,,,,,,,Virtualization,Webinars
"AFCEA Naval IT Day",2013-05-29,2013-05-29,USA,Virginia,Vienna,"Sheraton Premiere Tysons Corner","NORTH AMERICA",,,,http://www.afceanova.org/event/naval-it-day/2013/05/29/12th-annual-naval-it-day,,,,"Field Marketing,Public Sector","Industry Event"
"HP Discover Performance Tour",2013-05-29,2013-05-29,"South Africa",,Johannesberg,,,,,,,,,,,"Red Hat Partner Event"
"SAP Forum",2013-05-29,2013-05-29,"United Arab Emirates",,Dubai,,,,,,,,,,,"Red Hat Partner Event"
"Big Data Explosion",2013-05-29,2013-05-29,Sweden,,Stockholm,"Moderna Museet",EMEA,Nordics,,,,,,"Sponsors together with Intel. ",Storage,"C-level Event"
"SLED Event: NJ Digital Government Summit",2013-05-29,2013-05-30,USA,"New Jersey",Trenton,"Trenton Marriott Downtown","NORTH AMERICA",East,,,http://www.govtech.com/events/New-Jersey-Digital-Government-Summit-2013.html,,,"Exhibitor Level","Field Marketing,Public Sector,Channel,RHEL to Cloud,Sell RHEL","Industry Event"
"SLED EVENT: Southeast Regional EDUCAUSE Conference",2013-05-29,2013-05-31,USA,Georgia,Atlanta,"Westin Buckhead Atlanta",,,,,http://www.educause.edu/southeast-regional-conference,,,,"Channel,Virtualization,Field Marketing,Public Sector,Strategic Alternative (NextGen IT)","Industry Event"
"Open Source Conference Kick off lunch",2013-05-30,2013-05-30,Netherlands,,Amsterdam,"Restaurant Lute",EMEA,Benelux,,,,,,,Channel,"Red Hat Hosted"
"Federal Cloud Computing Summit",2013-05-30,2013-05-30,USA,"District of Columbia",Washington,"Ronald Reagan Building ","NORTH AMERICA",,,,http://www.cloudfedsummit.com/,,,,"Cloud,Field Marketing,Public Sector","Industry Event"
"Advantages of Open Software-Defined Storage",2013-05-30,2013-05-30,,,,,"NORTH AMERICA",,,,https://event.on24.com/eventRegistration/EventLobbyServlet?target=registration.jsp&eventid=614079&sessionid=1&key=048BC758E7B1B6D34D5E799B1562211A&partnerref=tmclanding&sourcepage=register,,,,"Field Marketing,Storage",Webinars
"Consulting: Simplifying JBoss EAP migration planning",2013-05-30,2013-05-30,,,"12:00 pm EST | 16:00 UTC",,,,,,,,,,,Webinars
"SLED Event:  ATX Hackathon for Change 2013",2013-06-01,2013-06-02,USA,Texas,Austin,"St. Edward's University",,,,,http://atx-hack-change-2013.eventbrite.com/,,,"Major Sponsor","Field Marketing,Public Sector,Openshift","Developer Event"
"Red xxx@redhat.com Day: 919555121264 Cell: 9195551212476",,,,,Middleware,"Red Hat Partner Event"
"Cisco xxx@redhat.com Day: 919-555-1212 Cell: 919-555-1212",,https://docspace.corp.redhat.com/docs/DOC-145260,,,,"Red Hat Partner Event"
"Red xxx@redhat.com Day: 919555121264 Cell: 9195551212476",,,,,Middleware,"Red Hat Partner Event"
"Health Datapalooza",2013-06-03,2013-06-04,USA,"District of Columbia",Washington,"Omni Shoreham Hotel ","NORTH AMERICA",,,,http://healthdatapalooza.org/,,,,"Storage,Public Sector,Field Marketing","Industry Event"
"JAXConf 2013 ",2013-06-03,2013-06-05,USA,California,"Santa Clara","Santa Clara Convention Center",,,,,http://jaxconf.com/,,,,Middleware,"Developer Event"
"Red Hat Masterclass",2013-06-03,2013-06-05,"South Africa",,Johannesburg,"Woodmead Office Park",EMEA,"MEA & Turkey",,,http://de.amiando.com/zamasterclass.html,,,,"Cloud,Storage,Virtualization,Platform,Middleware","Customer Event"
"Microsoft xxx@redhat.com Day: 9195551212 Cell: 9195551212",http://northamerica.msteched.com/,,,,"Platform,Virtualization,Middleware","Industry Event"
"Telefónica Seminar",2013-06-03,2013-06-28,Spain,Madrid,Madrid,,EMEA,"Iberia ",,,,,,,,"Red Hat Hosted"
"Tech Forum Gothenburg",2013-06-04,2013-06-04,Sweden,,Gothenburg,"Ateas lokaler",EMEA,Nordics,,,,,,,,"Red Hat Partner Event"
"Cisco xxx@redhat.com Day: 919-555-1212 Cell: 919-555-1212",http://www.cisco.com/go/semreg/EastRISCTPevent_redhat,https://docspace.corp.redhat.com/docs/DOC-141893,,,"Platform,Field Marketing,Migrate:  Solaris to RHEL, AIX to RHEL, HP-UX to RHEL (with HP), Lower TCO (Partners partners)","Red Hat Partner Event"
"Technical best practices for building a PaaS",2013-06-04,2013-06-04,,,"9:00 am EST | 13:00 UTC , 2:00 pm EST | 18:00 UTC",,,,,,https://vts.inxpo.com/Launch/QReg.htm?ShowKey=13149&AffiliateData=ec,,,,Cloud,Webinars
"The xxx@redhat.com Day: 919-555-1212 Cell: 919-555-1212",https://twimgs.com/audiencedevelopment/JB/Redhat_DC_060413_homepage.html,,,,"Middleware,Storage","C-level Event"
"Red xxx@redhat.com Day: 919555121264 Cell: 9195551212476",http://app.engage.redhat.com/e/es?s=1795&e=247719&elq=62d0ca051e634f6381b5bdac4415b778,,,,"Virtualization,Platform,Middleware","Red Hat Partner Event"
"IBM Technology Conference & Expo - KL",2013-06-04,2013-06-04,Malaysia,,"Kuala Lumpur","Imperial Ballroom, One World Hotel",APAC,ASEAN,,,http://www-07.ibm.com/my/ibmexpo2013/,,,"Gold Sponsor",,"Red Hat Partner Event"
"Dell FRS Tech Summit",2013-06-04,2013-06-06,France,,Paris,,EMEA,,,,,,,,"Channel,Virtualization,Storage,Openshift","Red Hat Partner Event"
"Red xxx@redhat.com Day: 919555121264 Cell: 9195551212476",,,,,Middleware,"Red Hat Partner Event"
"Standardize on Red Hat Enterprise Linux: Customer perspectives",2013-06-05,2013-06-05,,,,,,,,,,,,,"Platform,Sell RHEL",Webinars
"Red Hat for FBI (Finance, Banking, Insurance) market segment - CZ",2013-06-05,2013-06-05,"Czech Republic",,Prague,"hotel Yasmin",EMEA,"Eastern Europe",,,,,,,"Field Marketing","Red Hat Hosted"
"Dimension xxx@redhat.com Day: +61 2 8923 2807 Cell: +61 414953033",,,,,Channel,"Red Hat Partner Event"
"Evaluating BRMS: Setting up your first app",2013-06-06,2013-06-06,,,"11:00 am EST | 15:00 UTC",,,,,,,,,,Middleware,Webinars
"Canadian Regional Openshift Technical Webinar",2013-06-06,2013-06-06,Canada,,,,"NORTH AMERICA",,,,https://sas.elluminate.com/m.jnlp?sid=819&password=M.8FB95720235FBB86AB55B6A03628C2,,,,"Cloud,Openshift,Build Open Clouds,Field Marketing",Webinars
"IBM Red Hat System z Roadshow",2013-06-06,2013-06-06,"South Africa",,Johannesberg,,,,,,,,,,,"Red Hat Partner Event"
"Shadow-Soft Public Sector RHEV & CloudForms Workshop",2013-06-06,2013-06-06,,California,"San Diego",,,,,,http://shadow-soft.com/rhev-cloudforms-workshop/,,,,,
"IBM Red Hat Z Linux Roadshow",2013-06-06,2013-06-06,"South Africa",,Johannesburg,"IBM Office",EMEA,"MEA & Turkey",,,http://de.amiando.com/zlinuxsafrica.html,,,,Platform,"Customer Event"
"Dimension xxx@redhat.com Day: +61 2 8923 2807 Cell: +61 414953033",,,,,Channel,"Red Hat Partner Event"
"Red xxx@redhat.com Day: 919555121206 Cell: 9195551212119",http://app.engage.redhat.com/e/es?s=1795&e=247724&elq=3bffba08d63047379de9667fee323ec5,,,,"Virtualization,Platform,Middleware","Red Hat Hosted"
"Just Java Brazil",2013-06-07,2013-06-08,Brazil,,"São paulo",,LATAM,Brazil,,,,,,"Red Hat participated as an exhibitor",Middleware,"Developer Event"
"JUDCon 2013: United States",2013-06-09,2013-06-11,USA,Massachusetts,Boston,"Hynes Convention Center","NORTH AMERICA",East,,,http://www.jboss.org/events/JUDCon/2013/unitedstates/,,,,Middleware,"Red Hat Hosted"
"Nordic grouptrip to Red Hat Summit",2013-06-09,2013-06-15,USA,,Boston,,EMEA,Nordics,,,,www.redhat.com/summit,,,,"Red Hat Hosted"
"CamelOne 2013",2013-06-10,2013-06-11,USA,Massachusetts,Boston,"Hynes Convention Center","NORTH AMERICA",East,,,http://fusesource.com/apache-camel-conference-2013/,,,,Middleware,"Red Hat Hosted"
"HP Discover US 2013",2013-06-10,2013-06-12,USA,Nevada,"Las Vegas","The Venetian","NORTH AMERICA",West,,,https://h30406.www3.hp.com/campaigns/2012/events/discover/index.php,,,,"Middleware,Storage","Red Hat Partner Event"
"Cloud Computing Conference and Expo East 2013",2013-06-10,2013-06-13,USA,"New York","New York","Javits Center",,,,,https://www3.sys-con.com/cloud2013east/,,,,"Cloud,Openshift,Storage,Virtualization","Industry Event"
"IBM System z Technical University EMEA",2013-06-10,2013-06-14,Germany,,Munich,,EMEA,,,,,,,,"Global Partner Marketing","Red Hat Partner Event"
"Red Hat Summit",2013-06-10,2013-06-14,USA,Massachusetts,Boston,"Hynes Convention Center","NORTH AMERICA",East,,,http://www.redhat.com/summit/,,,,"Channel,Cloud,Field Marketing,Fedora,Global Partner Marketing,Middleware,Openshift,Opensource.com,Platform,Public Sector,Storage,Virtualization","Red Hat Hosted"
"IBM EDGE: System x and PureSystems",2013-06-10,2013-06-14,USA,Nevada,"Las Vegas","Mandalay Bay","NORTH AMERICA",West,,,http://www-304.ibm.com/jct03001c/services/learning/ites.wss/zz/en?pageType=page&c=Z114071H64823V79,,,,"Global Partner Marketing","Red Hat Partner Event"
"Red Hat Connect: Developer Exchange",2013-06-11,2013-06-11,USA,Massachusetts,Boston,"Hynes Convention Center","NORTH AMERICA",East,,,http://www.redhat.com/developerexchange/,,,,"Platform,Openshift,Storage","Red Hat Hosted"
"Cloud & Virtualization Event",2013-06-11,2013-06-11,Italy,,Rome,,,,,,,,,,,"Customer Event"
"Dell xxx@redhat.com Day: +54 (11) 4329 7392 Cell: +54 (911) 3685 1075",,,,Silver,"Build Open Clouds,Cloud","Red Hat Partner Event"
"IBM Technology Conference & Expo - SG",2013-06-11,2013-06-11,Singapore,,Singapore,"Raffles City Convention Center",APAC,ASEAN,,,https://www-950.ibm.com/events/wwe/grp/grp010.nsf/v17_agenda?openform&seminar=739DTQES&locale=en_ZZ,,,,"Global Partner Marketing","Red Hat Partner Event"
"IDC xxx@redhat.com Day: +91955512122 Cell: +91955512123",http://www.conferenz.co.nz/conferences/cio-summit,,,Platinum,,"Industry Event"
"Government Health IT",2013-06-11,2013-06-12,USA,"District of Columbia",Washington,"Renaissance Washington, DC Downtown Hotel ","NORTH AMERICA",,,,http://www.govhealthitconference.com/,,,,"Field Marketing,Public Sector","Industry Event"
"Tech Data: AIS Summit, Orlando, FL",2013-06-11,2013-06-13,USA,Florida,Orlando,"W Dallas – Victory in Dallas, Texas. ","NORTH AMERICA",Southeast,,,www.techdata.com/redhat,,,,"Channel,Field Marketing,Sell RHEL,Grow Share (Microsoft) NextGen Datacenter, Break Glass,Migrate:  Solaris to RHEL, AIX to RHEL, HP-UX to RHEL (with HP), Lower TCO (Partners partners)","Red Hat Partner Event"
"CIAB 2013 - with HP",2013-06-12,2013-06-14,Brazil,"São Paulo","São Paulo","Transamérica Expo Center SP",,,,,http://www.ciab.org.br/,,,,,"Industry Event"
"Joint Event with HP Technology Services (Indonesia)",2013-06-13,2013-06-13,Indonesia,,Jakarta,"JW Marriott Hotel",APAC,ASEAN,,,,,,NA,"Cloud,Field Marketing,Virtualization","Customer Event"
"Summit Government & Academic Luncheon",2013-06-13,2013-06-13,USA,Massachusetts,Boston,"Hynes Convention Center, Third Floor, Ballroom C","NORTH AMERICA","Public Sector",,,,,,,"Field Marketing,Public Sector","Red Hat Hosted"
"F5 Military Health System Golf Fundraiser",2013-06-13,2013-06-13,USA,Virginia,Arlington,"Army Navy Country Club ","NORTH AMERICA","Public Sector",,,http://my.carahsoft.com/acton/rif/2180/e-0c41-1305/-/l-tst:0/l-tst/showPreparedMessage,http://events.carahsoft.com/event-detail/2465/f5/register,,,"Field Marketing,Public Sector","Industry Event"
"Red xxx@redhat.com Day: 919555121264 Cell: 9195551212476",,,,,Middleware,"Red Hat Partner Event"
"Dell xxx@redhat.com Day: +54 (11) 4329 7392 Cell: +54 (911) 3685 1075",,,,Silver,"Build Open Clouds,Cloud","Red Hat Partner Event"
"Angelbeat - RHStorage (Columbus OH)",2013-06-17,2013-06-17,,,"Columbus OH","Embassy Suites Airport","NORTH AMERICA",,,,https://www.angelbeat.com/event-registration/,,,,"Field Marketing,Storage","Industry Event"
"Tech Forum Finland",2013-06-17,2013-06-17,Finland,,Helsinki,,EMEA,Nordics,,,,,,,,"Red Hat Hosted"
"Open xxx@redhat.com Day: 919-555-1212 Cell: 919-555-1212",http://www.opendatacenteralliance.org/forecast2013,https://docspace.corp.redhat.com/docs/DOC-147564,,,"Cloud,Openshift","Red Hat Partner Event"
"Satellite/RHEL ROI results",2013-06-18,2013-06-18,,,,,,,,,,,,,"Cloud,Platform",Webinars
"JBoss BRMS Workshop, Mountain View, CA",2013-06-18,2013-06-18,USA,California,"Mountain View","444 Castro St. Ste 1110",,,,,https://engage.redhat.com/forms/JBossWay_PaloAlto_BRMS_June?sc_cid=91955512120bEL9AAM&offer_id=91955512120bOELAA2&elq=%3Cspan%20class=eloquaemail%3Erecipientid%3C/span%3E,,,,"Intelligent Integrated Enterprises,Field Marketing","Red Hat Hosted"
"Angelbeat - RHStorage (Cincinnati OH)",2013-06-18,2013-06-18,USA,Ohio,Cincinnati,"Crowne Plaza Hotel Cincinnati","NORTH AMERICA",,,,https://www.angelbeat.com/event-registration/,,,,"Storage,Field Marketing","Industry Event"
"Cloud Computing Summit 2013",2013-06-18,2013-06-18,Italy,,Milano,,,,,,,,,,,"Industry Event"
"What's new in Infinispan?",2013-06-18,2013-06-18,,,"11:00 am EST | 15:00 UTC",,,,,,,,,,Middleware,Webinars
"Architect Forum Jboss",2013-06-18,2013-06-18,Sweden,,Stockholm,Lindqvist&Lundqvist,EMEA,Nordics,,,,,,,,"Red Hat Hosted"
"Red xxx@redhat.com Day: 919555121264 Cell: 9195551212476",http://app.engage.redhat.com/e/es?s=1795&e=247720&elq=45009e284e614bd8b002a5e62cc5ed2d,,,,"Middleware,Platform,Virtualization","Red Hat Partner Event"
"Dell xxx@redhat.com Day: +54 (11) 4329 7392 Cell: +54 (911) 3685 1075",,,,Silver,"Build Open Clouds,Cloud","Red Hat Partner Event"
"Tech Forum Stockholm",2013-06-18,2013-06-18,Sweden,,Kista,"Kista entré",EMEA,Nordics,,,,,,,,"Red Hat Hosted"
"Ingram Micro Solution Partner Invitational",2013-06-18,2013-06-20,USA,Texas,Dallas,"Grand Hyatt DFW","NORTH AMERICA",,,,https://www.signup4.net/Public/ap.aspx?EID=20132899E&TID=xuPzutf3%2fX1KpqeSalmivg%3d%3d,,,,"Channel,Storage,Field Marketing,Virtualization","Red Hat Partner Event"
"Gartner IT Infrastructure, Operations and Management Summit US 2013",2013-06-18,2013-06-20,USA,Florida,Orlando,"Gaylord Palms","NORTH AMERICA",Southeast,,,http://www.gartner.com/technology/summits/na/it-operations/,,,,"Cloud,Platform","Industry Event"
"GigaOM Structure 2013",2013-06-18,2013-06-20,USA,California,"San Francisco","Mission Bay Conference Center","NORTH AMERICA",West,,,http://event.gigaom.com/structure/,,,,Cloud,"Industry Event"
"Tech Forum Tallinn",2013-06-19,2013-06-19,Estonia,,Tallinn,,EMEA,Nordics,,,,,,,,"Red Hat Hosted"
"Benefits of SOE",2013-06-19,2013-06-19,,,,,,,,,,,,,Platform,Webinars
"Red xxx@redhat.com Day: 919555121206 Cell: 9195551212119",http://app.engage.redhat.com/e/es?s=1795&e=247725&elq=e8ce5a2d22f04a38b5b83d39e3f6966f,,,,"Cloud,Middleware,Platform,Virtualization","Red Hat Hosted"
"ICT xxx@redhat.com Day: +91955512120 Cell: +91955512120",,,,,,"Industry Event"
"The Five Must-Haves of Big Data Storage",2013-06-20,2013-06-20,,,,,"NORTH AMERICA",,,,Forthcoming,,,,"Field Marketing,Storage",Webinars
"AFCEA Emerging Technologies Symposium",2013-06-20,2013-06-20,USA,"District of Columbia",Washington,"Omni Shoreham Hotel","NORTH AMERICA",,,,http://www.afceadc.org/events/special-events/emerging-tech-fy13/,,,,"Public Sector,Field Marketing","Industry Event"
"Enterprise dropbox & cloud storage for service providers",2013-06-20,2013-06-20,,,,,,,,,,,,,Storage,Webinars
"HP and Red Hat C Level Visionary Roundtable",2013-06-20,2013-06-20,Spain,,Madrid,Observatorio,EMEA,"Iberia ",,,,,,,,"C-level Event"
"Red Hat Leadership Visionary Session 2013 Madrid",2013-06-20,2013-06-20,Spain,madrid,Madrid,"Torre de Cristal",EMEA,"Iberia ",,,http://www.redhatlab.es/estrellas/post/recursos.html,,,,,"Red Hat Hosted"
"Discover your Power with Symantec & Red Hat",2013-06-20,2013-06-21,USA,,,,"NORTH AMERICA",,,,http://www.symantec.com/page.jsp?id=man-of-steel&header=0&depthpath=0&om_em_cid=email-redhat,,,,"Channel,Global Partner Marketing,Platform","Red Hat Partner Event"
"VM xxx@redhat.com Day: 919-555-1212 Cell: 919-555-1212",http://www.vmworkshop.org/,https://docspace.corp.redhat.com/docs/DOC-147715,,,,"Red Hat Partner Event"
"Visionary xxx@redhat.com Day: +91955512120 Cell: +91955512120",,,,,,"C-level Event"
"Cisco Live! - US 2013",2013-06-23,2013-06-27,USA,Florida,Orlando,"Orange County Convention Center","NORTH AMERICA",Southeast,,,http://www.ciscolive.com/us/,,,,"Global Partner Marketing,Fedora,Storage","Red Hat Partner Event"
"Dell Solutions Tour, Varsaw",2013-06-24,2013-06-24,,,,,EMEA,"Eastern Europe",,,,,,,"Platform,Storage,Virtualization,Openshift","Customer Event"
"HP ETSS, Copenhagen",2013-06-24,2013-06-28,Danemark,,Copenhagen,,,,,,https://hpetss.inviteo.fr/ETSS2013/Copenhagen/,,,,,"Red Hat Partner Event"
"Technical xxx@redhat.com Day: +91955512120 Cell: +91955512120",,,,,,"User Groups"
"Taste of Training",2013-06-25,2013-06-25,,,,,,,,,,,,,,Webinars
"Storage Lunch-N-Learn, San Francisco",2013-06-25,2013-06-25,USA,California,"San Francisco",TBD,,,,,,,,,"Field Marketing","Red Hat Hosted"
"Red Hat Analyst Meeting",2013-06-25,2013-06-25,USA,"New York","New York City","New York Stock Exchange","NORTH AMERICA",East,,,,,,,,"Red Hat Hosted"
"Dell xxx@redhat.com Day: +54 (11) 4329 7392 Cell: +54 (911) 3685 1075",,,,Silver,"Build Open Clouds,Cloud","Red Hat Partner Event"
"Mid Atlantic Red Hat User Group Meeting",2013-06-26,2013-06-26,USA,"District of Columbia","Washington DC",TBD,"NORTH AMERICA",Southeast,,,,,,,"Field Marketing,Platform,Middleware,Cloud,Virtualization,Storage","Customer Event"
"Defense xxx@redhat.com Day: 919-555-1212 Cell: 919-555-1212",http://www.redhat.com/workshop/defense,,,,"Public Sector,Channel,Storage","Developer Event"
"NetApp xxx@redhat.com Day: 919-555-1212 Cell: 919-555-1212",,https://docspace.corp.redhat.com/docs/DOC-146038,,,,"Red Hat Partner Event"
"Deploying JBoss AMQ",2013-06-26,2013-06-26,,,,,,,,,,,,,Middleware,Webinars
"Dell xxx@redhat.com Day: +54 (11) 4329 7392 Cell: +54 (911) 3685 1075",,,,Silver,"Build Open Clouds,Cloud","Red Hat Partner Event"
"Hybrid Cloud Storage:  Getting the Best of Two Worlds",2013-06-26,2013-06-26,,,,,"NORTH AMERICA",,,,http://www.information-management.com/web_seminars/-10024386-1.html?st=Cust&s=redhat,,,,"Field Marketing,Storage",Webinars
"Gartner xxx@redhat.com Day: +919555121206 Cell: +919555121219",http://www.gartner.com/technology/summits/la/aplicaciones-desarrollo-mexico/,,,"Gold Level, as benefits we have a booth 6m2
30 min presentation  during June 27th 
logo at event guide
Red Hat Description Company at Red Hat event page (is not yet reflected)
Able to give a brochure or give away inside welcome kit 
Scanner to capture all contact information from people who attend the event
3 staff passess
3 executive passes to Red Hat Sales Managers or Solution Architects
4 executives passes to customers or prospects
","Middleware,Field Marketing,Intelligent Integrated Enterprises","Customer Event"
"Channel Learn & Earn Webinar: Red Hat JBoss Business Rules Management System",2013-06-27,2013-06-27,,,,,"NORTH AMERICA",,,,https://redhat.webex.com/redhat/onstage/g.php?t=a&d=642304563,,,,Channel,Webinars
"Migrating SAP from UNIX to RHEL",2013-06-27,2013-06-27,,,,,,,,,,,,,Platform,Webinars
"Shadow-Soft Public Sector RHEV & CloudForms Workshop",2013-06-27,2013-06-27,,Virginia,Springfield,"Springfield Hilton",,,,,http://shadow-soft.com/rhev-cloudforms-workshop-springfield-va/,,,,,
"Red xxx@redhat.com Day: 919555121264 Cell: 9195551212476",http://app.engage.redhat.com/e/es?s=1795&e=255725&elq=f6c80ef9edbd4d11a0b0608db3fa0ff9,,,,Virtualization,"Red Hat Partner Event"
"SLED EVENT: Public Technology Institute CIO Summit East",2013-06-27,2013-06-28,USA,Virginia,Alexandria,"Embassy Suites",,,,,http://www.pti.org/index.php/ptiee1/more/pti_cio_summit_east_to_take_place_june_27-28_in_alexandria_va/,,,"CIO Summit Sponsor","Public Sector,Build Open Clouds,CloudForms Launch and Early Adopter Engagement","C-level Event"
"Red Hat Lab: Red Hat Cloud Forms",2013-06-28,2013-06-28,,,,,EMEA,"Iberia ",,,http://www.redhatlab.es/web/,,,,Cloud,
"Europython 2013",2013-07-01,2013-07-07,Italy,,Florence,,,,,,,,,,,"Open Source Community"
"Event with Red Hat, HP and Intel",2013-07-03,2013-07-03,Brazil,,"São paulo",,,,,,,,,,"Channel,Platform","Red Hat Hosted"
"Red xxx@redhat.com Day: 919555121264 Cell: 9195551212476",http://app.engage.redhat.com/e/es?s=1795&e=256015&elq=bd6481da3e454bcb9c557141dc6e65e4,,,,Virtualization,"Red Hat Partner Event"
